transaction_id,timestamp,from_bank,account,to_bank,counterparty_account,amount_received,receiving_currency,amount_paid,payment_currency,payment_format,is_laundering,split
1797899,2022-09-02 21:39:00,223,811B8EE20,48309,811C599A0,635.74,Saudi Riyal,635.74,Saudi Riyal,Credit Card,0,train
1798952,2022-09-02 21:41:00,223,811B8EE20,48309,811C599A0,1024.32,Saudi Riyal,1024.32,Saudi Riyal,Cheque,0,train
2025117,2022-09-03 17:39:00,119,811C597B0,48309,811C599A0,15604.38,Saudi Riyal,15604.38,Saudi Riyal,ACH,1,train
2132229,2022-09-04 05:03:00,48309,811C599A0,48309,811C599A0,48649.42,Saudi Riyal,48649.42,Saudi Riyal,ACH,1,train
2132593,2022-09-04 05:06:00,222,811B83280,48309,811C599A0,50445.58,Saudi Riyal,50445.58,Saudi Riyal,ACH,1,train
2171075,2022-09-04 09:56:00,119,811C597B0,48309,811C599A0,29620.79,Saudi Riyal,29620.79,Saudi Riyal,ACH,1,train
2194622,2022-09-04 12:53:00,222,811B83280,48309,811C599A0,33899.93,Saudi Riyal,33899.93,Saudi Riyal,ACH,1,train
2211570,2022-09-04 14:59:00,48309,811C599A0,119,811C597B0,64379.45,Saudi Riyal,64379.45,Saudi Riyal,ACH,1,train
2220226,2022-09-04 16:03:00,48309,811C599A0,150240,812D22980,145391187.63,Saudi Riyal,145391187.63,Saudi Riyal,ACH,1,train
2227363,2022-09-04 16:56:00,48309,811C599A0,119,811C597B0,24189.19,Saudi Riyal,24189.19,Saudi Riyal,ACH,1,train
2247831,2022-09-04 19:29:00,150240,812D22980,48309,811C599A0,50550.9,Saudi Riyal,50550.9,Saudi Riyal,ACH,1,train
2414388,2022-09-05 05:54:00,150240,812D22980,48309,811C599A0,655.64,Saudi Riyal,655.64,Saudi Riyal,ACH,1,train
2433875,2022-09-05 06:54:00,222,811B83280,48309,811C599A0,2638.36,Saudi Riyal,2638.36,Saudi Riyal,ACH,1,train
2449671,2022-09-05 07:42:00,223,811B8EE20,48309,811C599A0,635.74,Saudi Riyal,635.74,Saudi Riyal,Credit Card,0,train
2453916,2022-09-05 07:55:00,223,811B8EE20,48309,811C599A0,1024.32,Saudi Riyal,1024.32,Saudi Riyal,Cheque,0,train
2454860,2022-09-05 07:58:00,223,811B8EE20,48309,811C599A0,771.96,Saudi Riyal,771.96,Saudi Riyal,ACH,0,train
2625218,2022-09-05 16:42:00,48309,811C599A0,222,811B83280,35687.95,Saudi Riyal,35687.95,Saudi Riyal,ACH,1,train
2636862,2022-09-05 17:18:00,222,811B83280,48309,811C599A0,50662.36,Saudi Riyal,50662.36,Saudi Riyal,ACH,1,train
2750623,2022-09-05 23:10:00,150240,812D22980,48309,811C599A0,34685.98,Saudi Riyal,34685.98,Saudi Riyal,ACH,1,train
2812846,2022-09-06 01:36:00,119,811C597B0,48309,811C599A0,25546149.73,Saudi Riyal,25546149.73,Saudi Riyal,ACH,1,train
2960917,2022-09-06 09:13:00,119,811C597B0,48309,811C599A0,23432.41,Saudi Riyal,23432.41,Saudi Riyal,ACH,1,train
3049446,2022-09-06 13:44:00,48309,811C599A0,119,811C597B0,2795.93,Saudi Riyal,2795.93,Saudi Riyal,ACH,1,validation
3104332,2022-09-06 16:32:00,223,811B8EE20,48309,811C599A0,1024.32,Saudi Riyal,1024.32,Saudi Riyal,Cheque,0,validation
3104984,2022-09-06 16:34:00,223,811B8EE20,48309,811C599A0,771.96,Saudi Riyal,771.96,Saudi Riyal,ACH,0,validation
3107576,2022-09-06 16:42:00,223,811B8EE20,48309,811C599A0,635.74,Saudi Riyal,635.74,Saudi Riyal,Credit Card,0,validation
3134247,2022-09-06 18:06:00,48309,811C599A0,150240,812D22980,66099.95,Saudi Riyal,66099.95,Saudi Riyal,ACH,1,validation
3231495,2022-09-06 23:05:00,48309,811C599A0,119,811C597B0,11878.48,Saudi Riyal,11878.48,Saudi Riyal,ACH,1,validation
3441351,2022-09-07 09:06:00,119,811C597B0,48309,811C599A0,657.36,Saudi Riyal,657.36,Saudi Riyal,ACH,1,validation
3506121,2022-09-07 12:26:00,48309,811C599A0,119,811C597B0,21304728.68,Saudi Riyal,21304728.68,Saudi Riyal,ACH,1,validation
3597797,2022-09-07 17:05:00,223,811B8EE20,48309,811C599A0,1024.32,Saudi Riyal,1024.32,Saudi Riyal,Cheque,0,validation
3601355,2022-09-07 17:16:00,223,811B8EE20,48309,811C599A0,635.74,Saudi Riyal,635.74,Saudi Riyal,Credit Card,0,validation
3601356,2022-09-07 17:16:00,223,811B8EE20,48309,811C599A0,771.96,Saudi Riyal,771.96,Saudi Riyal,ACH,0,validation
3728152,2022-09-07 23:48:00,150240,812D22980,48309,811C599A0,55801.94,Saudi Riyal,55801.94,Saudi Riyal,ACH,1,validation
3874929,2022-09-08 06:38:00,119,811C597B0,48309,811C599A0,15786.73,Saudi Riyal,15786.73,Saudi Riyal,ACH,1,validation
4048648,2022-09-08 15:29:00,119,811C597B0,48309,811C599A0,36386.72,Saudi Riyal,36386.72,Saudi Riyal,ACH,1,validation
4080593,2022-09-08 17:08:00,150240,812D22980,48309,811C599A0,69596.64,Saudi Riyal,69596.64,Saudi Riyal,ACH,1,test
4121153,2022-09-08 19:12:00,48309,811C599A0,119,811C597B0,48259.06,Saudi Riyal,48259.06,Saudi Riyal,ACH,1,test
4138232,2022-09-08 20:03:00,223,811B8EE20,48309,811C599A0,1024.32,Saudi Riyal,1024.32,Saudi Riyal,Cheque,0,test
4138856,2022-09-08 20:05:00,223,811B8EE20,48309,811C599A0,771.96,Saudi Riyal,771.96,Saudi Riyal,ACH,0,test
4142731,2022-09-08 20:17:00,223,811B8EE20,48309,811C599A0,635.74,Saudi Riyal,635.74,Saudi Riyal,Credit Card,0,test
4360019,2022-09-09 04:55:00,222,811B83280,48309,811C599A0,70986.04,Saudi Riyal,70986.04,Saudi Riyal,ACH,1,test
4473068,2022-09-09 09:08:00,48309,811C599A0,48309,811C599A0,47970.16,Saudi Riyal,47970.16,Saudi Riyal,ACH,1,test
4479423,2022-09-09 09:21:00,223,811B8EE20,48309,811C599A0,771.96,Saudi Riyal,771.96,Saudi Riyal,ACH,0,test
4481250,2022-09-09 09:25:00,223,811B8EE20,48309,811C599A0,635.74,Saudi Riyal,635.74,Saudi Riyal,Credit Card,0,test
4482534,2022-09-09 09:28:00,223,811B8EE20,48309,811C599A0,1024.32,Saudi Riyal,1024.32,Saudi Riyal,Cheque,0,test
4655847,2022-09-09 15:59:00,150240,812D22980,48309,811C599A0,74116.0,Saudi Riyal,74116.0,Saudi Riyal,ACH,1,test
5025552,2022-09-10 17:33:00,222,811B83280,48309,811C599A0,69912.59,Saudi Riyal,69912.59,Saudi Riyal,ACH,1,test
5036614,2022-09-10 18:55:00,222,811B83280,48309,811C599A0,9267.0,Saudi Riyal,9267.0,Saudi Riyal,ACH,1,test
5077282,2022-09-11 05:36:00,48309,811C599A0,48309,811C599A0,52436.24,Saudi Riyal,52436.24,Saudi Riyal,ACH,1,test
5077536,2022-09-11 16:43:00,119,811C597B0,48309,811C599A0,7043.12,Saudi Riyal,7043.12,Saudi Riyal,ACH,1,test
5077612,2022-09-11 20:43:00,48309,811C599A0,150240,812D22980,10748.19,Saudi Riyal,10748.19,Saudi Riyal,ACH,1,test
5077820,2022-09-12 15:24:00,48309,811C599A0,222,811B83280,19530.36,Saudi Riyal,19530.36,Saudi Riyal,ACH,1,test
5078082,2022-09-13 18:47:00,48309,811C599A0,150240,812D22980,51201.63,Saudi Riyal,51201.63,Saudi Riyal,ACH,1,test
5078093,2022-09-13 22:14:00,119,811C597B0,48309,811C599A0,55691.86,Saudi Riyal,55691.86,Saudi Riyal,ACH,1,test
5078174,2022-09-14 13:40:00,48309,811C599A0,119,811C597B0,30360.54,Saudi Riyal,30360.54,Saudi Riyal,ACH,1,test
5078201,2022-09-14 17:54:00,150240,812D22980,48309,811C599A0,60777.8,Saudi Riyal,60777.8,Saudi Riyal,ACH,1,test
5078246,2022-09-15 13:55:00,48309,811C599A0,48309,811C599A0,46862.34,Saudi Riyal,46862.34,Saudi Riyal,ACH,1,test
5078312,2022-09-17 02:45:00,48309,811C599A0,222,811B83280,34822.31,Saudi Riyal,34822.31,Saudi Riyal,ACH,1,test
